מזהה,סוג,"מק""ט","GTIN, UPC, EAN, or ISBN",שם,פורסם,"האם מומלץ?","נראות בקטלוג","תיאור קצר",תיאור,"תאריך התחלה של מחיר המבצע","תאריך סיום של מחיר המבצע","סטטוס מס","סוג מס",במלאי?,מלאי,"כמות של מלאי מועט","לאפשר הזמנות מראש?","נמכר בנפרד?","משקל (ק""ג)","אורך (סנטימטרים)","רוחב (סנטימטרים)","גובה (סנטימטרים)","לאפשר חוות דעת של לקוחות?","הערת רכישה","מחיר מבצע","מחיר רגיל",קטגוריות,תגיות,"סוג משלוח",תמונות,"הגבלת הורדות","ימים שנותרו לתוקף ההורדה",אב,"מוצרים מקובצים","מוצרים משודרגים","מוצרים משלימים","URL חיצוני","טקסט כפתור",מיקום,"Rey Swatches","Rey Variations extra images","שיוך 1 שמות","שיוך 1 ערכים","שיוך 1 פריטים מוצגים","שיוך 1 פריטים גלובליים","כלים: _wp_page_template","כלים: _variation_updated","כלים: _rey_qty_per_variation_min","כלים: _rey_qty_per_variation_max","כלים: _rey_qty_per_variation_step"
31509,variable,cusdes-BX-49908-l,,"גופיית אהבה היא אהבה",1,0,visible,,"<span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""></span></span></span></span>",,,none,,1,,,0,0,,,,,0,,,,"גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/02/f-FHTankTop1608_c4ede98f-c4a4-4ef7-8fb7-21fe6c106d4d.jpg, https://zeketa.co.il/wp-content/uploads/2026/02/s-FHTankTop1608_fe004f21-7601-4eef-80d5-f5e922fcc158.jpg, https://zeketa.co.il/wp-content/uploads/2026/02/b-FHTankTop1608_fdb4210a-6c62-4dbd-b2cf-de06e73afb44.jpg",,,,,,,,,0,,,מידה,l,1,1,default
31511,variable,cusdes-BX-47900-l,,"גופיית מבול",1,0,visible,,"<span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""></span></span></span></span>",,,none,,1,,,0,0,,,,,0,,,,"גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/02/189279-Waves-Tank-front.jpg, https://zeketa.co.il/wp-content/uploads/2026/02/189280-Waves-Tank-side.jpg, https://zeketa.co.il/wp-content/uploads/2026/02/189278-Waves-Tank-back.jpg",,,,,,,,,0,,,מידה,l,1,1,default
31513,variable,cusdes-BX-54010-m,,"גופיית קשת בענן של קוביות",1,0,visible,,"<span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""></span></span></span></span>",,,none,,1,,,0,0,,,,,0,,,,"נשים > בגדים > גופייה, גברים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/02/217632-f-FH-TankTop-1608.jpg, https://zeketa.co.il/wp-content/uploads/2026/02/217630-s-FH-TankTop-1608.jpg, https://zeketa.co.il/wp-content/uploads/2026/02/217631-b-FH-TankTop-1608.jpg",,,,,,,,,0,,,מידה,m,1,1,default
31515,variable,cusdes-BX-22181-l,,"גופיית רעש גולגולת",1,0,visible,,"<span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""></span></span></span></span>",,,none,,1,,,0,0,,,,,0,,,,"נשים > בגדים > גופייה, גברים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/35d11cba-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/29568ae0-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/b4e9893a-4.jpg",,,,,,,,,0,,,מידה,l,1,1,default
31517,variable,cusdes-BX-44930-l,,"גופיית Madness",1,0,visible,,"<span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""></span></span></span></span>",,,none,,1,,,0,0,,,,,0,,,,"נשים > בגדים > גופייה, גברים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/173758-front_20-_202020-11-10T142926.538-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/173756-side_20-_202020-11-10T142931.270-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/173755-back_20-_202020-11-10T142928.994-4.jpg",,,,,,,,,0,,,מידה,l,1,1,default
31519,variable,cusdes-BX-48638-l,,"גופיית קרח סגולה",1,0,visible,,"<span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""></span></span></span></span>",,,none,,1,,,0,0,,,,,0,,,,"גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/7-f-FHTankTop1608-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/7-s-FHTankTop1608-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/7-b-FHTankTop1608-4.jpg",,,,,,,,,0,,,מידה,l,1,1,default
31521,variable,cusdes-BX-38977-l,,"גופיית נחשים שחורים",1,0,visible,,"<span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""></span></span></span></span>",,,none,,1,,,0,0,,,,,0,,,,"גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/148493-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/148494-4.jpg",,,,,,,,,0,,,מידה,l,1,1,default
31523,variable,cusdes-BX-42099-m,,"גופיית שקיעה בלום",1,0,visible,,"<span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""></span></span></span></span>",,,none,,1,,,0,0,,,,,0,,,,"גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/Sunset-Bloom-tank-topfront-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/Sunset-Bloom-tank-topside-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/Sunset-Bloom-tank-top-back-4.jpg",,,,,,,,,0,,,מידה,m,1,1,default
31525,variable,cusdes-BX-47774-m,,"גופיית פסיפס שבטית",1,0,visible,,"<span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""></span></span></span></span>",,,none,,1,,,0,0,,,,,0,,,,"גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/188802-Tank-mockup_6_front-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/188803-Tank-mockup_6_side-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/188804-Tank-mockup_6_back-4.jpg",,,,,,,,,0,,,מידה,m,1,1,default
31527,variable,cusdes-!BX-52737-m,,"גופייה אדומה כחולה",1,0,visible,,"<span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;""></span></span></span></span>",,,none,,1,,,0,0,,,,,0,,,,"גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/211596-1-f-FH_20TankTop_201608-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/211597-1-s-FH_20TankTop_201608-4.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/211595-1-b-FH_20TankTop_201608-4.jpg",,,,,,,,,0,,,מידה,m,1,1,default
